Author,Affiliation,Article Title
Taylor S Cohen,"Vaccines & Immune Therapies, BioPharmaceuticals Research & Development, AstraZeneca, Gaithersburg, MD, USA. Electronic address: taylor.cohen@astrazeneca.com.","Efficacy and safety of sipavibart for prevention of COVID-19 in individuals who are immunocompromised (SUPERNOVA): a randomised, controlled, double-blind, phase 3 trial."
Jiazheng Wei,"College of Life Sciences and Biopharmaceuticals, Shenyang Pharmaceutical University, Shenyang, China.",RNA vaccines: The dawn of a new age for tuberculosis?
Chongyang Wu,"Department of Research and Development, Beijing Institute of Biological Products Co., Ltd., Beijing 100176, China.",Development and Implementation of a Single Radial Diffusion Technique for Quality Control of Acellular Pertussis Vaccines.
Xi Wang,"Department of Research and Development, Beijing Institute of Biological Products Co., Ltd., Beijing 100176, China.",Development and Implementation of a Single Radial Diffusion Technique for Quality Control of Acellular Pertussis Vaccines.
Yu Zhou,"Bacterial Vaccine Manufacturing Facility, Beijing Institute of Biological Products Co., Ltd., Beijing 100176, China.",Development and Implementation of a Single Radial Diffusion Technique for Quality Control of Acellular Pertussis Vaccines.
Xinshuo Zhu,"Bacterial Vaccine Manufacturing Facility, Beijing Institute of Biological Products Co., Ltd., Beijing 100176, China.",Development and Implementation of a Single Radial Diffusion Technique for Quality Control of Acellular Pertussis Vaccines.
Yu Ma,"Bacterial Vaccine Manufacturing Facility, Beijing Institute of Biological Products Co., Ltd., Beijing 100176, China.",Development and Implementation of a Single Radial Diffusion Technique for Quality Control of Acellular Pertussis Vaccines.
Wenming Wei,"Department of Research and Development, Beijing Institute of Biological Products Co., Ltd., Beijing 100176, China.",Development and Implementation of a Single Radial Diffusion Technique for Quality Control of Acellular Pertussis Vaccines.
Yuntao Zhang,"China National Biotec Group Co., Ltd., Beijing 100024, China.",Development and Implementation of a Single Radial Diffusion Technique for Quality Control of Acellular Pertussis Vaccines.
Hai-Lung Dai,"DiaVac Biotech Company, Doylestown, PA, USA.",SARS-CoV-2 neutralizing antibody determination after vaccination using spectrophotometric measurement of lateral flow immunochromatography.
Jie Gao,"Beijing Zhonghai Biotech Co., Ltd., Beijing 100081, China.",Impact of foot-and-mouth disease virus on memory T and B cell populations in swine.
Dongdong Liu,"Inner Mongolia Bigvet Biotech Co., Ltd., Inner Mongolia 011500, China.",Impact of foot-and-mouth disease virus on memory T and B cell populations in swine.
Guohua Wang,"Inner Mongolia Bigvet Biotech Co., Ltd., Inner Mongolia 011500, China.",Impact of foot-and-mouth disease virus on memory T and B cell populations in swine.
Tijana Krnjeta Janicijevic,"F. Hoffmann - La Roche Ltd., Basel, Switzerland.",Cardiovascular Safety in Oncology Clinical Trials: JACC: CardioOncology Primer.
R Frank Cornell,"AbbVie, Inc, North Chicago, Illinois, USA.",Cardiovascular Safety in Oncology Clinical Trials: JACC: CardioOncology Primer.
Nagendra Singh,"School of Biotechnology, Gautam Buddha University, Greater Noida, India",Exploring the Dynamics of Asparagus racemosus Phytochemicals as Dual Target Inhibitors of Monkeypox Virus.
Shopnil Akash,"Computational Biology Research Laboratory, Department of Pharmacy, Daffodil International University, Dhaka,
Bangladesh",Exploring the Dynamics of Asparagus racemosus Phytochemicals as Dual Target Inhibitors of Monkeypox Virus.
Yousef A Bin Jardan,"Department of Pharmaceutics, College of Pharmacy, King Saud University, PO Box, Riyadh, 11451, Saudi Arabia",Exploring the Dynamics of Asparagus racemosus Phytochemicals as Dual Target Inhibitors of Monkeypox Virus.
Mohammed Bourhia,"Swalife Biotech Ltd, Unit 3D, North Point House, North Point Business Park, Cork, Ireland",Exploring the Dynamics of Asparagus racemosus Phytochemicals as Dual Target Inhibitors of Monkeypox Virus.
Maroudam Veerasami,"CisGen Biotech Discoveries Pvt Ltd, Chennai, India.",Comparative performance of tuberculin and defined-antigen cocktails for detecting bovine tuberculosis in BCG-vaccinated cattle in natural settings.
Byung Ha Lee,"NeoImmuneTech Inc, Rockville, Maryland, USA.",Phase I study of efineptakin alfa (NT-I7) for the treatment of Kaposi sarcoma.
Li-Lian Kwok,"Cytel (Shanghai) Co Ltd, Shanghai, China.",Phase I study of efineptakin alfa (NT-I7) for the treatment of Kaposi sarcoma.
